DEPARTAMENTO	COBERTURA_NETA_MEDIA	DESERCION_MEDIA
Otros	44.7	2.5
Otros	36.8	1.14
Otros	28.8	1.51
Otros	44.8	7.47
Otros	50.7	1.87
Otros	35.3	5.92
Otros	48	1.53
Otros	66.6	2.94
Otros	36.4	2.17
Otros	48.9	3.15
Otros	40.9	3.45
Otros	44.7	5.8
Otros	30.2	5.8
Otros	64.3	2.36
Otros	20.4	1.72
Otros	74.8	3.75
Otros	42.1	7.14
Otros	53.7	3.74
Otros	42.8	6.61
Otros	41.4	4.25
Otros	35.9	1.77
Otros	41.6	1.67
Otros	37.2	3.8
Otros	75.6	1.16
Otros	48.7	2.25
Otros	22.8	0.88
Otros	46.2	4.76
Otros	40.5	1.67
Otros	64.1	1.5
Otros	58	2.82
Otros	34.1	4.05
Otros	57.5	3.57
Otros	39.9	5.66
Otros	59.2	2.91
Otros	40	3.42
Otros	54.1	4.28
Otros	32.9	2.22
Otros	79	2.45
Otros	50	1.11
Otros	24.9	2.73
Otros	34.8	1.33
Otros	27.6	2.3
Otros	20.9	14.29
Otros	50	1.18
Otros	43.2	3.08
Otros	23.8	4.7
Otros	44.3	3.17
Otros	37.1	10.66
Otros	52.2	6.74
Otros	48.7	10.86
Otros	46	5.38
Otros	36.3	12.18
Otros	55.6	4.61
Otros	45	3.8
Otros	27.4	11.11
Otros	26.2	5.8
Otros	29.1	11.43
Otros	39.1	3.49
Otros	57.6	3.09
Otros	46.8	10
Otros	90.2	4.67
Otros	31.2	2.49
Otros	42.6	3.31
Otros	38.6	9.68
Otros	25.5	5.43
Otros	44.1	4.84
Otros	12.6	2.34
Otros	37.8	4.62
Otros	49.9	2.29
Otros	44.8	1.06
Otros	40.4	2.04
Otros	37.4	2.97
Otros	42.8	5.93
Otros	48.2	2.4
Otros	39.8	7.69
Otros	29.6	5.18
Otros	49.5	6.4
Otros	31.3	5.88
Otros	33.9	3.98
